ID,Originating Document,Section,Control Title,Control Implementation,NIST SP800-53r5 references,Assurance Level,Risk Categories,
275,CNSWP v2.0,Distribute,Artifacts ready for deployment are managed in a staging or pre-prod registry,,,N/A,N/A,
276,CNSWP v2.0,Distribute,container images are hardened following best practices,"Images contain least permissions to remain functional, do not allow for shell, do not include unnecessary libraries and dependencies, do not bind mount files in from the host, etc.",,N/A,N/A,
277,CNSWP v2.0,Distribute,Static application security testing (SAST) is performed,Static analysis is performed by dedicated SAST tools as well as linters,,N/A,N/A,
278,CNSWP v2.0,Distribute,Test suites follow the test pyramid,,,N/A,N/A,
279,CNSWP v2.0,Distribute,Artifacts undergoing active development are held in a private registery,,,N/A,N/A,
280,CNSWP v2.0,Distribute,Scan application manifests in CI pipeline,,RA-5 VULNERABILITY MONITORING AND SCANNING,N/A,N/A,
281,CNSWP v2.0,Distribute,CI server's for sensitive workloads are isolated from other workloads,,SC-39 PROCESS ISOLATION,N/A,N/A,
282,CNSWP v2.0,Distribute,Builds requiring elevated privileges must run on dedicated servers,,SC-39 PROCESS ISOLATION,N/A,N/A,
283,CNSWP v2.0,Distribute,Build policies are enforced on the CI pipeline,,SA-1 POLICY AND PROCEDURES,N/A,N/A,
284,CNSWP v2.0,Distribute,Sign pipeline metadata,,"SI-7 SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",N/A,N/A,
285,CNSWP v2.0,Distribute,Build stages are verified prior to the next stage executing,,"SI-7 SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",N/A,N/A,
286,CNSWP v2.0,Distribute,Images are scanned within the CI pipeline,,"RA-5 VULNERABILITY MONITORING AND SCANNING
SA-3 SYSTEM DEVELOPMENT LIFE CYCLE",N/A,N/A,
287,CNSWP v2.0,Distribute,Vulnerability scans are coupled with pipeline compliance rules,Prevent insecure images and artifacts from being deployed,SA-1 POLICY AND PROCEDURES,N/A,N/A,
288,CNSWP v2.0,Distribute,Dynamic application security testing (DAST) is performed,,SA-11 (8) & (9) INTERACTIVE APPLICATION SECURITY TESTING,N/A,N/A,
289,CNSWP v2.0,Distribute,Application instrumentation is employed,,SI-4 SYSTEM MONITORING,N/A,N/A,
290,CNSWP v2.0,Distribute,Automated test results map back to requirements,"Requirements include feature, function, security, and complaince",,N/A,N/A,
291,CNSWP v2.0,Distribute,Infrastructure security tests must be employed,"firewall rules open to the world, overprivileged Identity & Access Management (IAM) policies, unauthenticated endpoints, etc",,N/A,N/A,
292,CNSWP v2.0,Distribute,Tests to verify the security health are executed at time of build and at time of deploy,to evaluate any changes or regressions that may have occurred throughout the lifecycle.,SI-4 SYSTEM MONITORING,N/A,N/A,
293,CNSWP v2.0,Distribute,IaC is subject to the same pipeline policy controls as application code,,,N/A,N/A,
294,CNSWP v2.0,Distribute,Security testing is automated,,"SA-11 DEVELOPER TESTING AND EVALUATION
CA-8 PENETRATION TESTING",N/A,N/A,
295,CNSWP v2.0,Distribute,Registries require mutually authenticated TLS for all registry connections,,IA-3(1) CRYPTOGRAPHIC BIDIRECTIONAL AUTHENTICATION,N/A,N/A,
296,CNSWP v2.0,Distribute,Image and metadata are signed,,"SI-7 SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",N/A,N/A,
297,CNSWP v2.0,Distribute,Workload-related configuration is signed,,"SI-7 SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",N/A,N/A,
298,CNSWP v2.0,Distribute,Workload-related package is signed,,"SI-7 SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",N/A,N/A,
299,CNSWP v2.0,Distribute,Validate integrity of images,,SI-7 SYSTEM & INFORMATION INTEGRITY,N/A,N/A,
300,CNSWP v2.0,Distribute,Scan images for vulnerabilities and malware,,"RA-5 VULNERABILITY MONITORING AND SCANNING
SA-3 SYSTEM DEVELOPMENT LIFE CYCLE",N/A,N/A,
301,CNSWP v2.0,Distribute,Enable image signing key revokation in the event of compromise,,SI-7 SYSTEM & INFORMATION INTEGRITY,N/A,N/A,
302,CNSWP v2.0,Distribute,Security updates are prioritized,,SI-2(3) SYSTEM & INFORMATION INTEGRITY,N/A,N/A,
303,CNSWP v2.0,Distribute,"HSMs or credential managers should be used for protecting credentials. If this is not possible, software-based credential managers should be used.",,SC-12(3) SYSTEMS & COMMUNICATION PROTECTION,N/A,N/A,
304,CNSWP v2.0,Distribute,Container image scanning findings are acted upon,,SI-2(3) SYSTEM & INFORMATION INTEGRITY,N/A,N/A,
305,CNSWP v2.0,Distribute,Organizational compliance rules are enforced,,PL-1 POLICY AND PROCEDURES,N/A,N/A,
306,CNSWP v2.0,Distribute,Incremental hardening of the infrastructure is employed,,,N/A,N/A,
307,CNSWP v2.0,Distribute,pulls from public registries are controlled and only from authorized engineers or internal registries,,AC-6(3) LEAST PRIVILEGE | NETWORK ACCESS TO PRIVILEGED COMMANDS,N/A,N/A,
308,CNSWP v2.0,Distribute,Image encryption is coupled with key management attestation and/or authorization and credential distribution,This restricts the image to only be deployed to authorized platforms. Container image authorization is useful for compliance use cases such as geo-fencing or export control and digital rights media management,"SC-12(2) CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT | SYMMETRIC & ASYMMETRIC KEYS
SC-12(3) CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT | SYMMETRIC & ASYMMETRIC KEYS",N/A,N/A,
309,CNSWP v2.0,Distribute,At-risk applications are prioritized for remediation by the exploit maturity and vulnerable path presence in addition to the CVSS score,,SI-2(3) SYSTEM & INFORMATION INTEGRITY,N/A,N/A,
310,CNSWP v2.0,Security Assurance,Network policies enforce east-west network communication within the container deployment is limited to only that which is authorized for access,,AC-6(3) LEAST PRIVILEGE | NETWORK ACCESS TO PRIVILEGED COMMANDS,N/A,N/A,
311,CNSWP v2.0,Security Assurance,Incident reponse considers cloud native workloads,"workloads which may not always conform with some underlying assumptions about node isolation (new pod instances could run on a different server), networking (e.g. IP addresses are assigned dynamically) and immutability (e.g. runtime changes to container are not persisted across restarts)","IR-4 INCIDENT HANDLING | AUTOMATED INCIDENT HANDLING PROCESSES
IR-4(5) INCIDENT HANDLING | AUTOMATIC DISABLING OF SYSTEM
CA-7 CONTINUOUS MONITORING",N/A,N/A,
312,CNSWP v2.0,Security Assurance,Incident response accounts for appropriate evidence handling and collection of coud native workloads,,"IR-5(1) INCIDENT MONITORING | AUTOMATED TRACKING, DATA COLLECTION, AND ANALYSIS",N/A,N/A,
313,CNSWP v2.0,Security Assurance,Rootless builds are employed,,,N/A,N/A,
314,CNSWP v2.0,Security Assurance,cgroups and system groups are used to isolate workloads and deployments,,,N/A,N/A,
315,CNSWP v2.0,Security Assurance,MAC implementations are employed,"SELinux, AppArmor",AC-3(3) ACCESS ENFORCEMENT | MANDATORY ACCESS CONTROL,N/A,N/A,
316,CNSWP v2.0,Security Assurance,Threat model code and infrastructure,"While various strategies are available, the MITRE ATT&CK matrix is an excellent starting point",SA-11(2) DEVELOPER TESTING AND EVALUATION | THREAT MODELING AND VULNERABILITY ANALYSES,N/A,N/A,
317,CNSWP v2.0,Security Assurance,Entities are able to independently authenticate other identities,Public Key Infrastructure,IA-9 SERVICE IDENTIFICATION AND AUTHENTICATION,N/A,N/A,
318,CNSWP v2.0,Security Assurance,Each entity can create proof of who the identity is,,IA-9 SERVICE IDENTIFICATION AND AUTHENTICATION,N/A,N/A,
319,CNSWP v2.0,Security Assurance,"Orchestrator is running on an a trusted OS, BIOS, etc",,CM-14 SIGNED COMPONENTS,N/A,N/A,
320,CNSWP v2.0,Security Assurance,Orchestrator verifies the claims of a container,,SI-6 SECURITY AND PRIVACY FUNCTION VERIFICATION,N/A,N/A,
321,CNSWP v2.0,Security Assurance,Orchestrator network policies are used in conjunction with a service mesh,,,N/A,N/A,
322,CNSWP v2.0,Security Assurance,Adhere to supply chain security best practices,The SSCP controls in this document provide the necessary controls for best practices,,N/A,N/A,
323,CNSWP v2.0,Security Assurance,Restrict access to repository and branches,The 'Security the Source Code' SSCP controls provide the necessary GitOps best practices,,N/A,N/A,
324,CNSWP v2.0,Security Assurance,Never store unencrypted credentials or secrets in the Git repository and block sensitive data being pushed to Git,The 'Security the Source Code' SSCP controls provide the necessary GitOps best practices,,N/A,N/A,
325,CNSWP v2.0,Security Assurance,"Enforce strong identity with GPG Signed Commits, to give accountability and traceability",The 'Security the Source Code' SSCP controls provide the necessary GitOps best practices,,N/A,N/A
326,CNSWP v2.0,Security Assurance,Require linear history and maintain a commit history by disallowing force pushes,The 'Security the Source Code' SSCP controls provide the necessary GitOps best practices,,N/A,N/A,
327,CNSWP v2.0,Security Assurance,Enforce branching policy. Especially protect the main branch and require code review before merging,The 'Security the Source Code' SSCP controls provide the necessary GitOps best practices,,N/A,N/A,
328,CNSWP v2.0,Security Assurance,"Monitor for vulnerabilities, and keep Git and GitOps tools up to date",The 'Security the Source Code' SSCP controls provide the necessary GitOps best practices,,N/A,N/A,
329,CNSWP v2.0,Security Assurance,"Rotate SSH keys and Personal Access Tokens, block unauthorized access to Git repositories",The 'Security the Source Code' SSCP controls provide the necessary GitOps best practices,,N/A,N/A
330,CNSWP v2.0,Security Assurance,Utilize a dedicated non-user technical account for access where credentials are frequently rotated and short-lived,The 'Security the Source Code' SSCP controls provide the necessary GitOps best practices,,N/A,N/A,
331,CNSWP v2.0,Security Assurance,Limit users who can elevate permissions to remove security features to cover their tracks via deletion of audit trails and silencing of alerts,The 'Security the Source Code' SSCP controls provide the necessary GitOps best practices,,N/A,N/A,
332,CNSWP v2.0,Storage,Storage control plane management interface requires mutual authentication and TLS for connections,,SC-8 TRANSMISSION CONFIDENTIALITY AND INTEGRITY,N/A,N/A,
333,CNSWP v2.0,Storage,"Data availability is achieved through parity or mirroring, erasure coding or replicas",,SI-13 PREDICTABLE FAILURE PREVENTION,N/A,N/A,
334,CNSWP v2.0,Storage,"Hashing and checksums are added to blocks, objects or files","primarily designed to detect and recover from corrupted data, but can also add a layer of protection against the tampering of data.","CM-7 LEAST FUNCTIONALITY
SI-7 SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",N/A,N/A,
335,CNSWP v2.0,Storage,Data backup storage and data source storage should have same security controls,,"SA-9 EXTERNAL SYSTEM SERVICES
SC-30 CONCEALMENT AND MISDIRECTION",N/A,N/A,
336,CNSWP v2.0,Storage,Secure erasure adhering to OPAL standards is employed for returned or non-functional devices,,"
CP-9 SYSTEM BACKUP
MP-6 MEDIA SANITIZATION",N/A,N/A,
337,CNSWP v2.0,Storage,"Encryption at rest considers data path, size, and frequency of access when determing additional security protections and cryptographic algorithms to employ","The encryption may be implemented in the storage client or storage server and granularity of the encryption will vary by system (e.g. per volume, per group or global keys)",SC-28 PROTECTION OF INFORMATION AT REST,N/A,N/A,
338,CNSWP v2.0,Storage,Caching is considered for determining encryption requirements in archictures,,,N/A,N/A,
339,CNSWP v2.0,Storage,Namespaces have defined trust boundaries to cordon access to volumes,,,N/A,N/A,
340,CNSWP v2.0,Storage,Security policies are used to prevent containers from accessing volume mounts on worker nodes,,"SC-7 BOUNDARY PROTECTION
SA-8 SECURITY AND PRIVACY ENGINEERING PRINCIPLES
CM-6 CONFIGURATION SETTINGS",N/A,N/A,
341,CNSWP v2.0,Storage,Security policies are used enforce authorized worker node access to volumes,,"SC-7 BOUNDARY PROTECTION
SA-8 SECURITY AND PRIVACY ENGINEERING PRINCIPLES
CM-6 CONFIGURATION SETTINGS",N/A,N/A,
342,CNSWP v2.0,Storage,Volume UID and GID are inaccessible to containers,,"AC-4 INFORMATION FLOW ENFORCEMENT
AC-16 SECURITY AND PRIVACY ATTRIBUTES
SI-7 SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",N/A,N/A,
343,CNSWP v2.0,Storage,Artifact registry supports OCI artifacts,,,N/A,N/A,
344,CNSWP v2.0,Storage,Artifact registry supports signed artifacts,,CM-14 SIGNED COMPONENTS,N/A,N/A,
345,CNSWP v2.0,Storage,Artifact registry verifies artifacts against organizational policies,,"AU-10 NON-REPUDIATION
CM-6 CONFIGURATION SETTINGS",N/A,N/A,
